event_id,timestamp,source_type,src_ip,dst_ip,protocol,url,url_length,url_has_ip,url_has_at_symbol,url_has_redirect,url_class,url_risk_score,file_type,file_size_kb,file_entropy,file_class,malware_risk_score,process_count,failed_logins,packets,bytes_in,bytes_out,network_activity,network_anomaly_score,unusual_login,large_outbound_transfer,attack_detected,possible_data_exfiltration,abnormal_activity,severity,incident_type,threat_tactic,human_approval_required,recommended_action
EVT-000017,2026-01-01 04:00:00,endpoint,10.0.7.38,172.16.80.24,UDP,https://example-safe.test/download,90,1,0,0,benign,0.043,doc,33617,4.809,benign,0.044,70,0,917,22747,96580,ddos,0.922,0,1,1,1,1,critical,possible_data_exfiltration,Exfiltration,1,Isolate endpoint and investigate transfer
EVT-000018,2026-01-01 04:15:00,server,10.0.210.173,172.16.25.180,DNS,https://example-safe.test/update,112,0,0,0,phishing,0.896,doc,10859,6.978,benign,0.034,38,4,4411,60803,67573,data_exfiltration,0.947,0,0,1,1,1,critical,possible_data_exfiltration,Initial Access,1,Isolate endpoint and investigate transfer
EVT-000019,2026-01-01 04:30:00,endpoint,10.0.9.53,172.16.90.129,TCP,https://example-safe.test/update,78,0,0,0,benign,0.063,none,32255,4.819,benign,0.057,43,1,4604,38832,81321,brute_force,0.811,0,1,1,1,1,critical,possible_data_exfiltration,Credential Access,1,Isolate endpoint and investigate transfer
EVT-000020,2026-01-01 04:45:00,endpoint,10.0.28.128,172.16.53.196,TCP,https://example-safe.test/verify,54,0,0,0,benign,0.062,exe,27777,6.721,benign,0.034,42,0,2027,16097,78632,normal,0.059,0,0,0,0,0,low,normal_activity,Discovery,1,No immediate action
EVT-000021,2026-01-01 05:00:00,browser,10.0.19.196,172.16.229.107,UDP,https://example-safe.test/account,126,0,0,0,phishing,0.85,pdf,14104,7.722,benign,0.084,57,2,2026,84210,65917,normal,0.085,0,0,1,0,0,medium,malicious_url,Initial Access,1,Increase monitoring
EVT-000022,2026-01-01 05:15:00,endpoint,10.0.132.13,172.16.206.249,HTTP,https://example-safe.test/home,34,0,0,0,benign,0.035,dll,7817,5.975,benign,0.042,58,3,1943,93839,67577,normal,0.041,0,0,0,0,0,low,normal_activity,Discovery,1,No immediate action
EVT-000023,2026-01-01 05:30:00,browser,10.0.220.249,172.16.24.27,TCP,https://example-safe.test/verify,48,1,0,0,benign,0.076,none,33219,7.61,malicious,0.996,101,2,1056,1568,23161,normal,0.075,0,0,1,0,0,medium,malware_activity,Execution,1,Increase monitoring
EVT-000024,2026-01-01 05:45:00,browser,10.0.11.245,172.16.107.155,HTTP,https://example-safe.test/update,76,0,0,0,benign,0.063,pdf,30173,5.205,benign,0.047,53,1,2976,76998,31154,dos,0.919,0,0,1,0,1,high,network_attack,Discovery,1,Block suspicious indicator for analyst review
EVT-000025,2026-01-01 06:00:00,endpoint,10.0.2.198,172.16.88.232,UDP,https://example-safe.test/update,105,0,0,0,phishing,0.853,none,3965,3.367,malicious,0.973,71,3,4295,93774,52682,brute_force,0.801,0,0,1,0,1,high,network_attack,Initial Access,1,Block suspicious indicator for analyst review
EVT-000026,2026-01-01 06:15:00,endpoint,10.0.140.126,172.16.193.124,DNS,https://example-safe.test/verify,128,0,0,0,malicious,0.969,js,5710,5.387,benign,0.0,109,5,3599,67588,5854,normal,0.006,0,0,1,0,0,medium,malicious_url,Initial Access,1,Increase monitoring
EVT-000027,2026-01-01 06:30:00,server,10.0.247.232,172.16.39.77,TCP,https://example-safe.test/update,64,0,0,1,benign,0.024,pdf,21782,5.279,malicious,0.946,84,4,3185,56921,17835,normal,0.044,0,0,1,0,0,medium,malware_activity,Execution,1,Increase monitoring
EVT-000028,2026-01-01 06:45:00,endpoint,10.0.165.56,172.16.84.102,HTTP,https://example-safe.test/home,23,0,0,0,phishing,0.848,none,41625,3.576,malicious,0.965,7,3,3603,81676,19062,normal,0.064,0,0,1,0,0,medium,malware_activity,Initial Access,1,Increase monitoring
EVT-000029,2026-01-01 07:00:00,endpoint,10.0.88.254,172.16.164.76,HTTP,https://example-safe.test/account,49,0,0,1,phishing,0.864,dll,34863,6.116,suspicious,0.586,69,0,223,7286,37928,normal,0.056,0,0,1,0,0,medium,malware_activity,Initial Access,1,Increase monitoring
EVT-000030,2026-01-01 07:15:00,endpoint,10.0.52.247,172.16.197.5,HTTPS,https://example-safe.test/login,48,0,0,1,benign,0.048,pdf,12940,2.932,suspicious,0.611,63,3,2477,96085,13200,normal,0.015,0,0,1,0,0,medium,malware_activity,Discovery,1,Increase monitoring
EVT-000031,2026-01-01 07:30:00,server,10.0.252.125,172.16.81.230,HTTP,https://example-safe.test/login,35,0,0,0,phishing,0.85,none,41802,4.918,benign,0.0,81,2,4621,81161,13302,botnet,0.885,0,0,1,0,1,high,network_attack,Initial Access,1,Block suspicious indicator for analyst review
EVT-000032,2026-01-01 07:45:00,browser,10.0.201.218,172.16.138.16,HTTP,https://example-safe.test/download,129,0,0,0,benign,0.072,dll,2500,3.48,malicious,0.944,33,0,4825,35207,11330,normal,0.004,0,0,1,0,0,medium,malware_activity,Execution,1,Increase monitoring
EVT-000033,2026-01-01 08:00:00,server,10.0.132.105,172.16.216.221,UDP,https://example-safe.test/update,26,0,0,1,benign,0.032,js,24888,7.88,malicious,0.923,92,5,2440,77124,69647,ddos,0.943,0,0,1,0,1,high,network_attack,Execution,1,Block suspicious indicator for analyst review
EVT-000034,2026-01-01 08:15:00,endpoint,10.0.236.132,172.16.181.142,HTTP,https://example-safe.test/login,20,0,0,1,suspicious,0.549,js,49359,3.207,malicious,0.959,56,1,4306,92722,9235,normal,0.093,0,0,1,0,0,medium,malware_activity,Execution,1,Increase monitoring
EVT-000035,2026-01-01 08:30:00,email,10.0.177.52,172.16.202.29,HTTPS,https://example-safe.test/verify,118,0,0,0,suspicious,0.561,zip,13104,7.694,suspicious,0.62,13,5,3762,28203,90041,normal,0.057,0,1,1,0,0,medium,malware_activity,Discovery,1,Increase monitoring
EVT-000036,2026-01-01 08:45:00,endpoint,10.0.34.22,172.16.156.118,DNS,https://example-safe.test/login,88,0,0,1,malicious,1.0,dll,21308,7.576,benign,0.078,82,1,4759,86716,73400,botnet,0.853,0,0,1,0,1,high,network_attack,Initial Access,1,Block suspicious indicator for analyst review
EVT-000037,2026-01-01 09:00:00,server,10.0.141.63,172.16.117.145,HTTPS,https://example-safe.test/download,43,0,0,0,benign,0.065,dll,18849,4.137,malicious,0.995,13,4,1381,56214,77179,brute_force,0.777,0,0,1,0,1,medium,network_attack,Execution,1,Increase monitoring
EVT-000038,2026-01-01 09:15:00,server,10.0.15.168,172.16.197.194,DNS,https://example-safe.test/verify,30,0,0,0,benign,0.042,none,48278,2.114,benign,0.061,27,1,4554,21580,42526,normal,0.0,0,0,0,0,0,low,normal_activity,Discovery,1,No immediate action
EVT-000039,2026-01-01 09:30:00,network,10.0.38.105,172.16.36.242,TCP,https://example-safe.test/verify,51,1,0,0,phishing,0.855,pdf,25767,6.382,suspicious,0.608,21,2,1738,73190,62436,infiltration,0.925,0,0,1,1,1,critical,possible_data_exfiltration,Initial Access,1,Isolate endpoint and investigate transfer
EVT-000040,2026-01-01 09:45:00,email,10.0.246.235,172.16.104.174,DNS,https://example-safe.test/account,60,0,0,0,benign,0.019,doc,44639,2.944,benign,0.005,110,1,4672,49085,1667,normal,0.0,0,0,0,0,0,low,normal_activity,Discovery,1,No immediate action
EVT-000041,2026-01-01 10:00:00,server,10.0.55.172,172.16.45.253,DNS,https://example-safe.test/update,110,0,0,1,benign,0.025,doc,12682,5.83,malicious,1.0,113,2,1118,98189,56280,normal,0.022,0,0,1,0,0,medium,malware_activity,Execution,1,Increase monitoring
EVT-000042,2026-01-01 10:15:00,browser,10.0.117.120,172.16.103.9,HTTPS,https://example-safe.test/home,50,1,0,1,phishing,0.876,pdf,34342,3.195,benign,0.058,108,3,3493,11175,82177,botnet,0.852,0,1,1,1,1,critical,possible_data_exfiltration,Initial Access,1,Isolate endpoint and investigate transfer
EVT-000043,2026-01-01 10:30:00,endpoint,10.0.66.66,172.16.164.5,UDP,https://example-safe.test/home,86,0,0,0,benign,0.08,dll,8547,2.131,benign,0.046,27,0,1605,8703,36469,ddos,0.939,0,0,1,0,1,high,network_attack,Discovery,1,Block suspicious indicator for analyst review
EVT-000044,2026-01-01 10:45:00,browser,10.0.171.72,172.16.79.73,UDP,https://example-safe.test/home,53,0,0,0,suspicious,0.547,none,23633,2.211,suspicious,0.604,112,2,2622,79758,14078,normal,0.049,0,0,1,0,0,medium,malware_activity,Discovery,1,Increase monitoring
EVT-000045,2026-01-01 11:00:00,server,10.0.166.210,172.16.89.178,DNS,https://example-safe.test/download,96,0,0,0,benign,0.036,exe,2030,5.842,malicious,0.992,114,2,4113,9712,14718,normal,0.035,0,0,1,0,0,medium,malware_activity,Execution,1,Increase monitoring
EVT-000046,2026-01-01 11:15:00,server,10.0.246.157,172.16.28.27,HTTPS,https://example-safe.test/login,91,0,0,0,phishing,0.883,exe,27872,6.972,suspicious,0.57,44,0,2974,19916,66216,web_attack,0.882,0,0,1,0,1,high,network_attack,Initial Access,1,Block suspicious indicator for analyst review
EVT-000047,2026-01-01 11:30:00,browser,10.0.75.184,172.16.110.175,UDP,https://example-safe.test/home,85,0,0,0,benign,0.091,dll,26592,7.218,benign,0.03,89,1,1074,13581,9735,normal,0.025,0,0,0,0,0,low,normal_activity,Discovery,1,No immediate action
EVT-000048,2026-01-01 11:45:00,browser,10.0.134.9,172.16.161.115,UDP,https://example-safe.test/login,120,0,0,0,phishing,0.861,pdf,27643,5.715,benign,0.0,29,1,1822,76976,66603,normal,0.044,0,0,1,0,0,medium,malicious_url,Initial Access,1,Increase monitoring
EVT-000049,2026-01-01 12:00:00,network,10.0.150.174,172.16.122.97,HTTPS,https://example-safe.test/home,118,0,0,1,phishing,0.891,none,8839,4.03,malicious,0.93,80,1,962,54041,33225,port_scan,0.683,0,0,1,0,0,medium,network_attack,Initial Access,1,Increase monitoring
EVT-000050,2026-01-01 12:15:00,endpoint,10.0.243.89,172.16.166.136,DNS,https://example-safe.test/account,64,0,0,0,benign,0.041,pdf,35271,5.432,malicious,1.0,117,2,2897,29431,40430,infiltration,0.926,0,0,1,1,1,critical,possible_data_exfiltration,Execution,1,Isolate endpoint and investigate transfer
EVT-000051,2026-01-01 12:30:00,browser,10.0.250.31,172.16.132.112,TCP,https://example-safe.test/login,78,0,0,0,suspicious,0.555,dll,7755,6.019,malicious,0.964,111,3,94,66940,21089,normal,0.071,0,0,1,0,0,medium,malware_activity,Execution,1,Increase monitoring
EVT-000052,2026-01-01 12:45:00,endpoint,10.0.21.38,172.16.235.164,HTTPS,https://example-safe.test/download,118,0,0,0,malicious,0.976,js,37102,5.715,benign,0.019,102,1,1545,3886,79335,botnet,0.881,0,0,1,0,1,high,network_attack,Initial Access,1,Block suspicious indicator for analyst review
EVT-000053,2026-01-01 13:00:00,email,10.0.52.147,172.16.107.159,HTTPS,https://example-safe.test/update,62,0,0,0,suspicious,0.584,none,15515,3.421,malicious,0.961,3,2,4327,21971,94503,brute_force,0.776,0,1,1,1,1,critical,possible_data_exfiltration,Execution,1,Isolate endpoint and investigate transfer
EVT-000054,2026-01-01 13:15:00,server,10.0.138.174,172.16.202.177,HTTPS,https://example-safe.test/update,119,0,0,0,suspicious,0.549,zip,13127,5.666,benign,0.065,40,1,3755,44889,29819,port_scan,0.738,0,0,1,0,1,medium,network_attack,Credential Access,1,Increase monitoring
EVT-000055,2026-01-01 13:30:00,browser,10.0.229.76,172.16.169.234,DNS,https://example-safe.test/download,113,0,0,0,phishing,0.908,doc,39622,4.486,suspicious,0.604,3,3,2153,18633,38350,ddos,0.931,0,0,1,0,1,high,network_attack,Initial Access,1,Block suspicious indicator for analyst review
EVT-000056,2026-01-01 13:45:00,email,10.0.83.253,172.16.136.158,DNS,https://example-safe.test/login,105,0,0,0,suspicious,0.56,pdf,31260,4.715,benign,0.061,28,1,3167,1600,16451,data_exfiltration,0.987,0,0,1,1,1,critical,possible_data_exfiltration,Exfiltration,1,Isolate endpoint and investigate transfer
EVT-000057,2026-01-01 14:00:00,server,10.0.194.79,172.16.142.45,HTTPS,https://example-safe.test/update,101,0,0,1,benign,0.018,pdf,31293,6.167,benign,0.01,3,2,2115,39634,26000,normal,0.021,0,0,0,0,0,low,normal_activity,Discovery,1,No immediate action
EVT-000058,2026-01-01 14:15:00,network,10.0.38.62,172.16.227.110,UDP,https://example-safe.test/download,65,1,0,0,benign,0.045,dll,35639,5.939,malicious,0.988,111,1,4655,4723,39443,normal,0.029,0,0,1,0,0,medium,malware_activity,Execution,1,Increase monitoring
EVT-000059,2026-01-01 14:30:00,server,10.0.72.174,172.16.46.195,TCP,https://example-safe.test/verify,58,0,0,0,benign,0.108,pdf,49878,3.2,suspicious,0.645,76,0,3867,68316,59005,infiltration,0.948,0,0,1,1,1,critical,possible_data_exfiltration,Exfiltration,1,Isolate endpoint and investigate transfer
EVT-000060,2026-01-01 14:45:00,browser,10.0.163.102,172.16.93.16,HTTP,https://example-safe.test/download,55,0,1,0,benign,0.047,dll,9725,2.008,benign,0.005,17,2,4342,62902,92003,dos,0.891,0,1,1,1,1,critical,possible_data_exfiltration,Exfiltration,1,Isolate endpoint and investigate transfer
EVT-000061,2026-01-01 15:00:00,email,10.0.171.128,172.16.138.68,HTTPS,https://example-safe.test/account,121,1,0,0,benign,0.042,zip,25830,7.13,benign,0.057,79,2,2155,80818,46445,port_scan,0.736,0,0,1,0,1,medium,network_attack,Credential Access,1,Increase monitoring
EVT-000062,2026-01-01 15:15:00,email,10.0.158.73,172.16.180.50,HTTPS,https://example-safe.test/account,85,0,0,0,benign,0.042,zip,25419,6.197,benign,0.062,86,2,1784,83372,56994,brute_force,0.76,0,0,1,0,1,medium,network_attack,Credential Access,1,Increase monitoring
EVT-000063,2026-01-01 15:30:00,email,10.0.63.158,172.16.68.2,DNS,https://example-safe.test/login,122,0,1,0,malicious,0.948,zip,28689,7.354,suspicious,0.61,118,2,2053,64549,46349,ddos,0.911,0,0,1,0,1,high,network_attack,Initial Access,1,Block suspicious indicator for analyst review
EVT-000064,2026-01-01 15:45:00,server,10.0.113.83,172.16.75.207,DNS,https://example-safe.test/download,92,0,0,0,benign,0.016,js,40413,3.616,benign,0.044,45,2,1202,97899,92775,botnet,0.89,0,1,1,1,1,critical,possible_data_exfiltration,Exfiltration,1,Isolate endpoint and investigate transfer
EVT-000065,2026-01-01 16:00:00,endpoint,10.0.157.194,172.16.75.247,HTTP,https://example-safe.test/login,28,0,0,0,benign,0.0,doc,1171,7.92,benign,0.008,78,4,4524,33252,66126,infiltration,0.908,0,0,1,1,1,critical,possible_data_exfiltration,Exfiltration,1,Isolate endpoint and investigate transfer
EVT-000066,2026-01-01 16:15:00,endpoint,10.0.220.200,172.16.245.215,DNS,https://example-safe.test/home,33,0,1,0,phishing,0.861,dll,34401,4.597,suspicious,0.593,70,3,4985,89955,57096,port_scan,0.75,0,0,1,0,1,medium,network_attack,Initial Access,1,Increase monitoring
EVT-000067,2026-01-01 16:30:00,server,10.0.217.202,172.16.230.242,DNS,https://example-safe.test/verify,122,1,0,0,benign,0.041,dll,28068,7.498,suspicious,0.603,109,2,4726,53066,48701,normal,0.097,0,0,1,0,0,medium,malware_activity,Discovery,1,Increase monitoring
EVT-000068,2026-01-01 16:45:00,browser,10.0.22.163,172.16.222.188,UDP,https://example-safe.test/login,82,0,0,0,malicious,0.974,none,7837,5.854,malicious,1.0,78,2,3316,64599,79829,dos,0.946,0,0,1,0,1,high,network_attack,Initial Access,1,Block suspicious indicator for analyst review
EVT-000069,2026-01-01 17:00:00,server,10.0.170.152,172.16.178.129,TCP,https://example-safe.test/login,114,0,0,0,benign,0.041,js,15452,3.656,suspicious,0.57,35,3,4107,32907,8370,normal,0.064,0,0,1,0,0,medium,malware_activity,Discovery,1,Increase monitoring
EVT-000070,2026-01-01 17:15:00,endpoint,10.0.26.159,172.16.237.97,UDP,https://example-safe.test/login,88,0,0,0,suspicious,0.553,zip,16899,4.007,malicious,0.99,76,2,2482,82047,96807,brute_force,0.827,0,1,1,1,1,critical,possible_data_exfiltration,Execution,1,Isolate endpoint and investigate transfer
EVT-000071,2026-01-01 17:30:00,server,10.0.87.254,172.16.109.245,HTTPS,https://example-safe.test/update,84,0,1,0,malicious,0.93,zip,16898,5.802,malicious,0.974,43,1,4848,24965,87469,normal,0.022,0,1,1,0,0,medium,malware_activity,Initial Access,1,Increase monitoring
EVT-000072,2026-01-01 17:45:00,email,10.0.130.251,172.16.165.151,UDP,https://example-safe.test/login,88,0,1,0,benign,0.007,pdf,28444,6.077,malicious,0.914,42,2,3056,86111,57699,normal,0.024,0,0,1,0,0,medium,malware_activity,Execution,1,Increase monitoring
EVT-000073,2026-01-01 18:00:00,browser,10.0.167.97,172.16.177.240,HTTP,https://example-safe.test/update,18,0,0,0,benign,0.059,dll,16708,5.304,suspicious,0.618,39,1,1537,93162,59603,port_scan,0.698,0,0,1,0,0,medium,network_attack,Credential Access,1,Increase monitoring
EVT-000074,2026-01-01 18:15:00,browser,10.0.216.140,172.16.117.210,UDP,https://example-safe.test/account,114,0,0,0,malicious,0.976,dll,47644,7.688,benign,0.033,98,2,1978,80442,51502,ddos,0.996,0,0,1,0,1,high,network_attack,Initial Access,1,Block suspicious indicator for analyst review
EVT-000075,2026-01-01 18:30:00,network,10.0.229.73,172.16.202.192,DNS,https://example-safe.test/verify,88,0,0,0,malicious,0.985,none,13324,5.924,malicious,0.991,18,1,2372,67660,6957,botnet,0.875,0,0,1,0,1,high,network_attack,Initial Access,1,Block suspicious indicator for analyst review
EVT-000076,2026-01-01 18:45:00,server,10.0.172.43,172.16.17.71,HTTP,https://example-safe.test/home,21,0,0,0,malicious,0.99,none,20035,2.991,benign,0.038,85,3,4500,39504,1467,port_scan,0.692,0,0,1,0,0,medium,network_attack,Initial Access,1,Increase monitoring
EVT-000077,2026-01-01 19:00:00,email,10.0.236.195,172.16.143.51,HTTP,https://example-safe.test/verify,99,0,0,0,malicious,0.993,zip,22346,2.321,benign,0.066,111,0,674,17545,95487,normal,0.041,0,1,1,0,0,medium,malicious_url,Initial Access,1,Increase monitoring
EVT-000078,2026-01-01 19:15:00,server,10.0.236.215,172.16.155.9,HTTPS,https://example-safe.test/login,54,0,0,0,benign,0.067,pdf,6656,6.965,benign,0.014,78,1,2178,20911,85279,normal,0.087,0,1,0,0,0,low,normal_activity,Discovery,1,No immediate action
EVT-000079,2026-01-01 19:30:00,network,10.0.88.97,172.16.64.191,HTTPS,https://example-safe.test/account,31,0,0,1,benign,0.036,none,5863,3.752,benign,0.046,95,4,2310,28478,73098,botnet,0.787,0,0,1,0,1,medium,network_attack,Discovery,1,Increase monitoring
EVT-000080,2026-01-01 19:45:00,network,10.0.222.166,172.16.85.181,DNS,https://example-safe.test/home,96,0,0,0,benign,0.057,pdf,30343,7.861,malicious,0.967,29,2,4384,31717,89359,normal,0.0,0,1,1,0,0,medium,malware_activity,Execution,1,Increase monitoring
EVT-000081,2026-01-01 20:00:00,server,10.0.254.235,172.16.229.249,TCP,https://example-safe.test/update,42,0,0,0,suspicious,0.542,zip,12464,6.398,suspicious,0.584,1,0,1024,16322,21580,ddos,0.912,0,0,1,0,1,high,network_attack,Discovery,1,Block suspicious indicator for analyst review
EVT-000082,2026-01-01 20:15:00,server,10.0.194.40,172.16.93.42,HTTP,https://example-safe.test/login,99,0,0,0,phishing,0.874,pdf,38190,3.767,suspicious,0.594,2,3,3184,44077,86600,port_scan,0.699,0,1,1,0,0,medium,network_attack,Initial Access,1,Increase monitoring
EVT-000083,2026-01-01 20:30:00,server,10.0.150.203,172.16.237.225,DNS,https://example-safe.test/update,21,0,0,0,benign,0.06,exe,36470,7.71,suspicious,0.591,40,1,2663,64540,35306,normal,0.016,0,0,1,0,0,medium,malware_activity,Discovery,1,Increase monitoring
EVT-000084,2026-01-01 20:45:00,endpoint,10.0.191.187,172.16.117.250,HTTPS,https://example-safe.test/login,83,0,0,0,benign,0.082,exe,11775,2.363,benign,0.065,59,4,4011,27133,9248,botnet,0.874,0,0,1,0,1,high,network_attack,Discovery,1,Block suspicious indicator for analyst review
EVT-000085,2026-01-01 21:00:00,network,10.0.204.19,172.16.70.89,HTTPS,https://example-safe.test/download,60,0,0,1,benign,0.069,dll,7049,5.001,benign,0.035,86,3,2920,12734,38191,normal,0.053,0,0,0,0,0,low,normal_activity,Discovery,1,No immediate action
EVT-000086,2026-01-01 21:15:00,browser,10.0.20.119,172.16.35.17,TCP,https://example-safe.test/verify,43,0,0,0,benign,0.05,pdf,20896,2.979,suspicious,0.601,25,1,233,85571,26678,brute_force,0.821,0,0,1,0,1,high,network_attack,Credential Access,1,Block suspicious indicator for analyst review
EVT-000087,2026-01-01 21:30:00,endpoint,10.0.73.171,172.16.44.219,HTTP,https://example-safe.test/verify,101,0,0,0,malicious,0.962,js,21203,7.544,malicious,0.988,72,1,4730,75180,62255,normal,0.053,0,0,1,0,0,medium,malware_activity,Initial Access,1,Increase monitoring
EVT-000088,2026-01-01 21:45:00,email,10.0.186.82,172.16.171.104,HTTP,https://example-safe.test/verify,32,1,0,0,phishing,0.889,pdf,29475,2.196,benign,0.053,119,0,365,52551,38949,normal,0.055,0,0,1,0,0,medium,malicious_url,Initial Access,1,Increase monitoring
EVT-000089,2026-01-01 22:00:00,browser,10.0.105.239,172.16.89.204,DNS,https://example-safe.test/download,23,0,0,1,suspicious,0.579,exe,22361,6.403,malicious,0.964,103,2,559,32357,31549,port_scan,0.719,0,0,1,0,1,medium,network_attack,Execution,1,Increase monitoring
EVT-000090,2026-01-01 22:15:00,browser,10.0.54.82,172.16.107.118,TCP,https://example-safe.test/account,54,0,0,0,phishing,0.926,zip,5008,7.174,benign,0.016,85,3,4710,59019,96839,port_scan,0.707,0,1,1,0,1,medium,network_attack,Initial Access,1,Increase monitoring
EVT-000091,2026-01-01 22:30:00,browser,10.0.40.100,172.16.229.252,UDP,https://example-safe.test/account,60,0,0,0,benign,0.053,none,9278,3.666,benign,0.039,99,4,3435,39909,19736,ddos,1.0,0,0,1,0,1,high,network_attack,Discovery,1,Block suspicious indicator for analyst review
EVT-000092,2026-01-01 22:45:00,network,10.0.27.141,172.16.232.44,DNS,https://example-safe.test/account,59,0,0,0,malicious,0.955,none,22086,6.375,benign,0.053,37,1,1729,2357,21029,ddos,0.943,0,0,1,0,1,high,network_attack,Initial Access,1,Block suspicious indicator for analyst review
